a0,a1,a2,a3,a4,a5,a6,class
0,0,633790226051280329,105776,4.062931060791016,1.892434239387512,0.5074254274368286,0
0,3,633790226051820913,105777,4.2919535636901855,1.7811404466629028,1.3444952964782717,0
0,2,633790226052091205,105778,4.359101295471191,1.8264557123184204,0.9688209891319276,0
0,0,633790226052361498,105779,4.087835311889648,1.8799986839294436,0.4669834077358246,0
0,1,633790226052631792,105780,4.324462413787842,2.0724596977233887,0.4880646467208862,0
0,3,633790226052902087,105781,4.364077091217041,1.7676914930343628,1.2999963760375977,0
0,2,633790226053172379,105782,4.373908042907715,1.887959599494934,0.7690189480781555,0
0,0,633790226053442677,105783,3.958496094,1.70356285572052,0.5110414028167725,0
0,3,633790226053983265,105784,4.244913578033447,1.9816819429397583,1.3087588548660278,0
0,0,633790226054523854,105785,4.016990661621094,1.7340649366378784,0.1931668072938919,0
0,1,633790226054794151,105786,4.358249187469482,2.0338358879089355,0.5028252601623535,0
0,3,633790226055064446,105787,4.126309394836426,2.165540933609009,1.3788437843322754,0
0,2,633790226055334743,105788,4.41847038269043,1.839860200881958,0.9729407429695128,0
0,0,633790226055605037,105789,3.7483747005462646,2.073422431945801,0.254481703042984,0
0,2,633790226056415915,105790,4.363125801086426,1.9368687868118288,0.9398277401924132,0
0,0,633790226056686205,105791,3.8208940029144287,2.049377918243408,0.0553768649697303,0
0,1,633790226056956500,105792,4.355477333068848,1.9901506900787356,0.501697838306427,0
0,3,633790226057226795,105793,4.292500972747803,2.0738532543182373,1.36650812625885,0
0,2,633790226057497087,105794,4.443745136260986,1.882843017578125,0.9807919859886168,0
0,0,633790226057767378,105795,4.039506435394287,1.908465385437012,0.4538170099258423,0
0,2,633790226058578251,105796,4.442771911621094,1.9214894771575928,0.9722917079925536,0
0,0,633790226058848547,105797,4.0300493240356445,1.924634337425232,0.4908458888530731,0
0,1,633790226059118838,105798,4.43934965133667,1.7790948152542114,0.5815326571464539,0
0,3,633790226059389134,105799,4.401064872741699,1.958730101585388,1.39270281791687,0
0,0,633790226059929714,105800,4.033097267150879,1.9077460765838623,0.4499805271625519,0
0,3,633790226060470296,105801,4.257812976837158,2.118816375732422,1.421759843826294,0
0,2,633790226060740593,105802,4.321756839752197,2.016165971755981,0.9542430639266968,0
0,0,633790226061010886,105803,3.815208196640015,1.9881162643432615,0.2273978888988495,0
0,1,633790226061281182,105804,4.30866813659668,2.0415589809417725,0.5568785071372986,0
0,3,633790226061551477,105805,4.175219058990479,2.1623518466949463,1.3521299362182615,0
0,0,633790226062092058,105806,4.025538444519043,1.9191956520080569,0.5377328395843506,0
0,3,633790226062632644,105807,4.1526947021484375,2.2164318561553955,1.3456181287765503,0
0,2,633790226062902937,105808,4.327484130859375,1.9038004875183103,1.0139302015304563,0
0,0,633790226063173229,105809,3.999123334884644,1.9111965894699097,0.5472050309181213,0
0,1,633790226063443524,105810,4.488844394683838,1.8774183988571167,0.2986214160919189,0
0,3,633790226063713818,105811,4.141219615936279,2.181058883666992,1.3319170475006104,0
0,2,633790226063984109,105812,4.310126304626465,1.9908361434936523,0.9690410494804382,0
0,0,633790226064254399,105813,3.7943692207336426,1.942712903022766,0.1932259947061538,0
0,3,633790226064794985,105814,4.13047981262207,2.1885557174682617,1.3609391450881958,0
0,2,633790226065065279,105815,4.351978302001953,1.9333747625350952,0.9961614608764648,0
0,0,633790226065335574,105816,4.035763740539551,1.8816325664520264,0.4977138340473175,0
0,1,633790226065605868,105817,4.332226753234863,2.0054378509521484,0.4412223100662231,0
